txn_id,value_date,narration,ref_no,debit,credit
btxn_P20B06AYV00038,2026-06-01,NEFT-6947530309t579-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,6947530309t579,0,4894857
btxn_E6SX1FX0W70073,2026-06-02,IMPS/RAZORPAYSOFTWARE/PAYOUT/REF UNAVAILABLE,REF NOT AVAILABLE,0,28081182
btxn_PBDXRJPEPP0088,2026-06-03,IMPS/1124327519k915/RAZORPAY/SETTLEMENT,1124327519k915,0,11578627
btxn_ZGZYD1TNH50087,2026-06-04,NEFT-1124327519k915-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,1124327519k915,0,11578627
btxn_CDZUEF805C0111,2026-06-04,NEFT-1110724913a466-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,1110724913a466,0,8731813
btxn_PK93HURVHD0125,2026-06-07,NEFT-9952125442u276-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,9952125442u276,0,2387089
btxn_84THJG1ZXZ0154,2026-06-06,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-6545970956a729,6545970956a729,0,14532437
btxn_PRF949ZEHD0174,2026-06-10,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-8747974356q567,8747974356q567,0,12487051
btxn_VA1X0X4X3J0209,2026-06-09,NEFT-7487012742z156-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,7487012742z156,0,9021543
btxn_SFZLD1VQ3F0236,2026-06-09,IMPS/4358554365k485/RAZORPAY/SETTLEMENT,4358554365k485,0,5385161
btxn_45A3NJVLTF0235,2026-06-10,RTGS-4358554365k485-RAZORPAY SOFTWARE PRIVATE LIMITED,4358554365k485,0,5385161
btxn_EZH8DMQ9C10253,2026-06-10,RTGS-9624563057k936-RAZORPAY SOFTWARE PRIVATE LIMITED,9624563057k936,0,12140143
btxn_MA1CMWQG7K0276,2026-06-11,IMPS/8664400151x737/RAZORPAY/SETTLEMENT,8664400151x737,0,3644167
btxn_ZBXVVT7GQJ0293,2026-06-12,NEFT-RZRPY SOFT PVT-STLMNT-21390,REF NOT AVAILABLE,0,5142273
btxn_Y4TFZXMH110322,2026-06-15,IMPS/8477300991y628/RAZORPAY/SETTLEMENT,8477300991y628,0,15817869
