entity_id,type,debit,credit,amount,currency,fee,tax,settlement_id,settlement_utr,created_at,settled_at,payment_id,order_id,method,description
pay_S8M8GV8NKZ0003,payment,0,151269,154924,INR,3098,557,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_S8M8GV8NKZ0003,order_AHTXHU3L5A0002,upi,Payment captured
pay_3PNV1Z494H0006,payment,0,154887,158629,INR,3172,570,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_3PNV1Z494H0006,order_FF7EJJ6LS90005,card,Payment captured
pay_62NGG3Y3250009,payment,0,17707,18134,INR,362,65,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_62NGG3Y3250009,order_XE8RT7PJ6R0008,card,Payment captured
pay_276P1DL0A00012,payment,0,80962,82918,INR,1658,298,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_276P1DL0A00012,order_5RE4GDAFRL0011,emi,Payment captured
pay_MEER1HRCF20015,payment,0,368921,377837,INR,7556,1360,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_MEER1HRCF20015,order_WDD689LD8F0014,wallet,Payment captured
pay_ERZUL4V9AV0018,payment,0,202112,206996,INR,4139,745,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_ERZUL4V9AV0018,order_EA5GEP8SJY0017,card,Payment captured
pay_JSL43AHEKC0021,payment,0,784650,803614,INR,16072,2892,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_JSL43AHEKC0021,order_87SDF3TCAX0020,card,Payment captured
pay_RTLG0C6QN50024,payment,0,968313,991717,INR,19834,3570,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_RTLG0C6QN50024,order_2KRLM2BMX20023,netbanking,Payment captured
pay_YW38H0NSC30027,payment,0,140053,143437,INR,2868,516,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_YW38H0NSC30027,order_1XBHSMSCG30026,emi,Payment captured
pay_AVUP3W544P0030,payment,0,114197,116957,INR,2339,421,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_AVUP3W544P0030,order_W1UJN20MV10029,card,Payment captured
pay_1RKAG3QM950033,payment,0,545831,559023,INR,11180,2012,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_1RKAG3QM950033,order_BCR6E52N070032,wallet,Payment captured
pay_T4EURTXWFJ0036,payment,0,1365955,1398970,INR,27979,5036,setl_J87FDHKL3E0001,6947530309t579,2026-05-30,2026-06-01,pay_T4EURTXWFJ0036,order_4L64SRT97R0035,wallet,Payment captured
pay_0WP5WX0T2S0041,payment,0,12146163,12439739,INR,248794,44782,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_0WP5WX0T2S0041,order_B1BF3J5MDS0040,card,Payment captured
pay_HLVGBV01NE0044,payment,0,1516385,1553035,INR,31060,5590,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_HLVGBV01NE0044,order_KRJ6HP5SZL0043,netbanking,Payment captured
pay_653TWRFT4R0047,payment,0,117183,120015,INR,2400,432,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_653TWRFT4R0047,order_7G3Z5K3M9T0046,netbanking,Payment captured
pay_74BFUQ1RVZ0050,payment,0,234991,240670,INR,4813,866,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_74BFUQ1RVZ0050,order_TA9NFR27R60049,card,Payment captured
pay_NUQZMVAJTC0053,payment,0,58960,60384,INR,1207,217,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_NUQZMVAJTC0053,order_WHMNP6T9UG0052,netbanking,Payment captured
pay_VFRH2Q90440056,payment,0,22817,23368,INR,467,84,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_VFRH2Q90440056,order_S6HE17EDKK0055,card,Payment captured
pay_5EQSN3HQKT0059,payment,0,28880,29577,INR,591,106,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_5EQSN3HQKT0059,order_LA246UCQUU0058,wallet,Payment captured
pay_BTCM694TM30062,payment,0,10151172,10396529,INR,207930,37427,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_BTCM694TM30062,order_74FC3WSBFQ0061,wallet,Payment captured
pay_A52DN9Z74D0065,payment,0,834273,854436,INR,17088,3075,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_A52DN9Z74D0065,order_1C5FWSWH180064,netbanking,Payment captured
pay_T266R5K0N80068,payment,0,1374923,1408155,INR,28163,5069,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_T266R5K0N80068,order_2FQH5HK7U80067,emi,Payment captured
pay_R0Q2CW600K0071,payment,0,1595435,1633996,INR,32679,5882,setl_2Q7QT37B0X0039,8722962486x269,2026-05-31,2026-06-02,pay_R0Q2CW600K0071,order_7K46YX05WN0070,upi,Payment captured
pay_R7KQ5S5SA50076,payment,0,105610,108162,INR,2163,389,setl_CERUQF3GG40074,1124327519k915,2026-06-01,2026-06-03,pay_R7KQ5S5SA50076,order_3KR92MLMF00075,card,Payment captured
pay_D7UQYQNSJG0079,payment,0,9868365,10106886,INR,202137,36384,setl_CERUQF3GG40074,1124327519k915,2026-06-01,2026-06-03,pay_D7UQYQNSJG0079,order_GR0YUUB1TA0078,card,Payment captured
pay_5EKQ1ZF1AS0082,payment,0,210981,216079,INR,4321,777,setl_CERUQF3GG40074,1124327519k915,2026-06-01,2026-06-03,pay_5EKQ1ZF1AS0082,order_Z98TLS6UXH0081,emi,Payment captured
pay_V7HGRJ05Z20085,payment,0,1393671,1427356,INR,28547,5138,setl_CERUQF3GG40074,1124327519k915,2026-06-01,2026-06-03,pay_V7HGRJ05Z20085,order_WQE5V2HJCC0084,wallet,Payment captured
pay_Z8G48QC9V50091,payment,0,276416,283095,INR,5661,1018,setl_QXKATKJSMH0089,1110724913a466,2026-06-02,2026-06-04,pay_Z8G48QC9V50091,order_MSDJ29HE640090,netbanking,Payment captured
pay_HP34Q2X5120094,payment,0,378596,387745,INR,7754,1395,setl_QXKATKJSMH0089,1110724913a466,2026-06-02,2026-06-04,pay_HP34Q2X5120094,order_JTW09U583G0093,upi,Payment captured
pay_VYG8PK6QGY0097,payment,0,34383,35213,INR,704,126,setl_QXKATKJSMH0089,1110724913a466,2026-06-02,2026-06-04,pay_VYG8PK6QGY0097,order_ZJDXH2Y3DU0096,netbanking,Payment captured
pay_025XLZVWFD0100,payment,0,7703012,7889195,INR,157783,28400,setl_QXKATKJSMH0089,1110724913a466,2026-06-02,2026-06-04,pay_025XLZVWFD0100,order_AMK1EKBF9P0099,netbanking,Payment captured
pay_1DAPVPJSUW0103,payment,0,140805,144208,INR,2884,519,setl_QXKATKJSMH0089,1110724913a466,2026-06-02,2026-06-04,pay_1DAPVPJSUW0103,order_HY3HU79VCQ0102,upi,Payment captured
pay_H1BWL5ZF3G0106,payment,0,199598,204421,INR,4088,735,setl_QXKATKJSMH0089,1110724913a466,2026-06-02,2026-06-04,pay_H1BWL5ZF3G0106,order_C3B5EW312U0105,card,Payment captured
pay_SNMKEM754W0109,payment,0,171746,175896,INR,3517,633,setl_QXKATKJSMH0089,1110724913a466,2026-06-02,2026-06-04,pay_SNMKEM754W0109,order_H98NYYKRGK0108,emi,Payment captured
pay_DXEXG0USKX0114,payment,0,121714,124655,INR,2493,448,setl_4NW68KD4GX0112,9952125442u276,2026-06-03,2026-06-05,pay_DXEXG0USKX0114,order_499LZZU02X0113,card,Payment captured
pay_X7NQJKEUG80117,payment,0,1941525,1988452,INR,39769,7158,setl_4NW68KD4GX0112,9952125442u276,2026-06-03,2026-06-05,pay_X7NQJKEUG80117,order_9F38ZBZVMP0116,upi,Payment captured
pay_45U0892LNJ0120,payment,0,182787,187204,INR,3744,673,setl_4NW68KD4GX0112,9952125442u276,2026-06-03,2026-06-05,pay_45U0892LNJ0120,order_R4U4QRV6NZ0119,netbanking,Payment captured
